order_id,order_date,region,category,sales_channel,quantity,unit_price,gross_sales,discount,net_sales,category_value,error_code,is_valid
95,2023-12-10,East,Home,Store,0.0,72.0,0.0,0.06,0.0,NON-RELIABLE,CRITICAL_ERROR,False
96,2024-09-21,South,Clothing,Online,12.0,,,0.3,,NON-RELIABLE,CRITICAL_ERROR,False
97,2023-03-08,North,Electronics,Online,-1.0,190.59,-190.59,0.34,-125.7894,NON-RELIABLE,CRITICAL_ERROR,False
98,2023-12-10,West,Clothing,Store,,203.33,,0.33,,NON-RELIABLE,CRITICAL_ERROR,False
100,2024-08-14,East,Electronics,Store,,644.04,,0.07,,NON-RELIABLE,CRITICAL_ERROR,False
101,2023-02-23,South,Clothing,Marketplace,-1.0,439.93,-439.93,0.01,-435.5307,NON-RELIABLE,CRITICAL_ERROR,False
105,2024-02-15,West,Sports,Marketplace,2.0,,,0.13,,NON-RELIABLE,CRITICAL_ERROR,False
108,2023-03-04,South,Sports,Marketplace,,699.19,,0.31,,NON-RELIABLE,CRITICAL_ERROR,False
113,2024-01-18,East,Home,Online,-1.0,556.39,-556.39,0.34,-367.2174,NON-RELIABLE,CRITICAL_ERROR,False
117,2024-04-14,East,Electronics,Marketplace,-1.0,484.68,-484.68,0.12,-426.5184,NON-RELIABLE,CRITICAL_ERROR,False
118,2023-04-27,West,Clothing,Marketplace,9.0,-26.85,-241.65,0.02,-236.817,NON-RELIABLE,CRITICAL_ERROR,False
121,2023-05-02,North,Home,Store,-2.0,676.99,-1353.98,0.22,-1056.1044,NON-RELIABLE,CRITICAL_ERROR,False
125,2023-11-04,West,Clothing,Marketplace,0.0,157.2,0.0,,,NON-RELIABLE,CRITICAL_ERROR,False
130,2024-05-24,West,Home,Store,-2.0,665.94,-1331.88,0.33,-892.3596,NON-RELIABLE,CRITICAL_ERROR,False
133,2023-12-16,East,Electronics,Marketplace,1.0,,,0.01,,NON-RELIABLE,CRITICAL_ERROR,False
136,2024-10-11,South,Sports,Online,-1.0,577.75,-577.75,0.29,-410.2025,NON-RELIABLE,CRITICAL_ERROR,False
138,2023-08-02,Central,Beauty,Marketplace,-1.0,490.38,-490.38,,,NON-RELIABLE,CRITICAL_ERROR,False
139,2024-02-13,North,Clothing,Marketplace,-2.0,3.65,-7.3,0.27,-5.329,NON-RELIABLE,CRITICAL_ERROR,False
141,2024-04-20,North,Home,Store,,130.67,,0.16,,NON-RELIABLE,CRITICAL_ERROR,False
142,2024-04-18,South,Clothing,Store,3.0,-15.12,-45.36,0.09,-41.2776,NON-RELIABLE,CRITICAL_ERROR,False
147,2023-03-30,North,Clothing,Marketplace,0.0,180.44,0.0,0.22,0.0,NON-RELIABLE,CRITICAL_ERROR,False
150,2024-01-25,West,Electronics,Marketplace,-2.0,346.64,-693.28,0.05,-658.616,NON-RELIABLE,CRITICAL_ERROR,False
156,2023-08-30,West,Sports,Online,0.0,198.39,0.0,0.12,0.0,NON-RELIABLE,CRITICAL_ERROR,False
163,2023-12-02,South,Clothing,Store,4.0,,,0.11,,NON-RELIABLE,CRITICAL_ERROR,False
166,2024-04-26,South,Electronics,Store,-2.0,585.93,-1171.86,0.05,-1113.2669999999998,NON-RELIABLE,CRITICAL_ERROR,False
169,2023-08-06,North,Electronics,Online,-1.0,457.54,-457.54,0.18,-375.1828,NON-RELIABLE,CRITICAL_ERROR,False
171,2023-07-11,North,Sports,Marketplace,0.0,119.58,0.0,0.13,0.0,NON-RELIABLE,CRITICAL_ERROR,False
177,2023-07-25,West,Sports,Marketplace,-1.0,531.56,-531.56,0.09,-483.7196,NON-RELIABLE,CRITICAL_ERROR,False
181,2024-04-07,South,Sports,Store,0.0,8.82,0.0,0.05,0.0,NON-RELIABLE,CRITICAL_ERROR,False
186,2024-03-03,South,Clothing,Marketplace,-1.0,194.78,-194.78,0.18,-159.7196,NON-RELIABLE,CRITICAL_ERROR,False
189,2023-09-24,South,Home,Marketplace,-2.0,655.66,-1311.32,0.02,-1285.0936,NON-RELIABLE,CRITICAL_ERROR,False
192,2023-10-30,South,Beauty,Online,5.0,-27.86,-139.3,0.33,-93.331,NON-RELIABLE,CRITICAL_ERROR,False
194,2024-03-18,East,Sports,Store,,494.45,,0.24,,NON-RELIABLE,CRITICAL_ERROR,False
201,2024-06-23,East,Clothing,Store,,264.16,,0.22,,NON-RELIABLE,CRITICAL_ERROR,False
211,2023-04-17,North,Home,Online,0.0,-26.07,-0.0,0.33,-0.0,NON-RELIABLE,CRITICAL_ERROR,False
214,2023-06-13,South,Beauty,Online,12.0,-17.52,-210.24,0.28,-151.3728,NON-RELIABLE,CRITICAL_ERROR,False
215,2023-04-03,West,Electronics,Marketplace,-1.0,172.05,-172.05,0.15,-146.2425,NON-RELIABLE,CRITICAL_ERROR,False
217,2024-04-05,Central,Clothing,Online,,304.4,,0.3,,NON-RELIABLE,CRITICAL_ERROR,False
219,2024-09-18,South,Electronics,Marketplace,14.0,-11.44,-160.16,0.09,-145.7456,NON-RELIABLE,CRITICAL_ERROR,False
220,2023-10-02,Central,Beauty,Marketplace,0.0,492.93,0.0,0.2,0.0,NON-RELIABLE,CRITICAL_ERROR,False
222,2023-02-06,Central,Home,Store,0.0,-11.77,-0.0,0.22,-0.0,NON-RELIABLE,CRITICAL_ERROR,False
229,2023-04-21,East,Electronics,Store,4.0,-18.19,-72.76,0.18,-59.66320000000001,NON-RELIABLE,CRITICAL_ERROR,False
231,2023-08-25,North,Home,Marketplace,-1.0,631.39,-631.39,0.04,-606.1343999999999,NON-RELIABLE,CRITICAL_ERROR,False
236,2024-10-29,North,Electronics,Marketplace,2.0,,,0.28,,NON-RELIABLE,CRITICAL_ERROR,False
237,2024-01-11,Central,Home,Online,0.0,621.29,0.0,,,NON-RELIABLE,CRITICAL_ERROR,False
246,2023-10-17,South,Beauty,Marketplace,-1.0,,,0.25,,NON-RELIABLE,CRITICAL_ERROR,False
247,2024-01-14,Central,Beauty,Store,-1.0,567.94,-567.94,0.24,-431.6344,NON-RELIABLE,CRITICAL_ERROR,False
250,2024-11-21,East,Sports,Online,8.0,,,0.19,,NON-RELIABLE,CRITICAL_ERROR,False
257,2023-10-17,East,Clothing,Online,0.0,-19.77,-0.0,0.07,-0.0,NON-RELIABLE,CRITICAL_ERROR,False
259,2023-11-01,West,Beauty,Store,4.0,,,0.17,,NON-RELIABLE,CRITICAL_ERROR,False
267,2024-07-27,South,Sports,Store,0.0,390.94,0.0,0.06,0.0,NON-RELIABLE,CRITICAL_ERROR,False
268,2023-08-20,South,Clothing,Online,0.0,208.63,0.0,0.28,0.0,NON-RELIABLE,CRITICAL_ERROR,False
274,2023-01-13,East,Electronics,Marketplace,1.0,-19.6,-19.6,0.16,-16.464000000000002,NON-RELIABLE,CRITICAL_ERROR,False
277,2024-05-06,East,Clothing,Online,,28.59,,0.27,,NON-RELIABLE,CRITICAL_ERROR,False
278,2023-12-03,South,Clothing,Marketplace,-1.0,253.06,-253.06,0.08,-232.8152,NON-RELIABLE,CRITICAL_ERROR,False
283,2024-01-28,North,Sports,Online,,,,0.04,,NON-RELIABLE,CRITICAL_ERROR,False
288,2024-03-10,North,Electronics,Store,,280.77,,0.26,,NON-RELIABLE,CRITICAL_ERROR,False
290,2024-01-13,East,Clothing,Online,2.0,,,0.32,,NON-RELIABLE,CRITICAL_ERROR,False
292,2024-08-26,North,Sports,Store,,78.11,,0.08,,NON-RELIABLE,CRITICAL_ERROR,False
293,2024-02-13,South,Sports,Store,,695.11,,0.1,,NON-RELIABLE,CRITICAL_ERROR,False
295,2023-05-09,South,Home,Online,0.0,23.87,0.0,0.02,0.0,NON-RELIABLE,CRITICAL_ERROR,False
296,2023-01-28,South,Beauty,Marketplace,-1.0,218.46,-218.46,0.28,-157.2912,NON-RELIABLE,CRITICAL_ERROR,False
298,2024-06-17,South,Sports,Store,-2.0,349.94,-699.88,0.1,-629.892,NON-RELIABLE,CRITICAL_ERROR,False
299,2024-12-24,North,Sports,Online,7.0,,,0.23,,NON-RELIABLE,CRITICAL_ERROR,False
304,2023-07-02,Central,Electronics,Store,-2.0,187.52,-375.04,0.0,-375.04,NON-RELIABLE,CRITICAL_ERROR,False
306,2023-09-03,East,Sports,Marketplace,0.0,276.98,0.0,0.01,0.0,NON-RELIABLE,CRITICAL_ERROR,False
308,2024-01-16,East,Home,Online,0.0,50.87,0.0,0.08,0.0,NON-RELIABLE,CRITICAL_ERROR,False
311,2023-07-06,Central,Electronics,Online,,534.23,,0.11,,NON-RELIABLE,CRITICAL_ERROR,False
312,2023-04-10,North,Beauty,Store,-2.0,,,0.27,,NON-RELIABLE,CRITICAL_ERROR,False
314,2024-06-25,North,Home,Store,-1.0,520.23,-520.23,0.07,-483.8139,NON-RELIABLE,CRITICAL_ERROR,False
316,2023-02-16,East,Home,Marketplace,-2.0,346.64,-693.28,0.07,-644.7503999999999,NON-RELIABLE,CRITICAL_ERROR,False
318,2023-04-10,North,Beauty,Online,4.0,-7.09,-28.36,0.06,-26.6584,NON-RELIABLE,CRITICAL_ERROR,False
319,2024-08-17,West,Electronics,Online,3.0,-28.8,-86.4,0.02,-84.672,NON-RELIABLE,CRITICAL_ERROR,False
321,2024-02-28,East,Beauty,Store,,-9.49,,0.17,,NON-RELIABLE,CRITICAL_ERROR,False
323,2023-07-17,North,Clothing,Marketplace,0.0,698.75,0.0,0.27,0.0,NON-RELIABLE,CRITICAL_ERROR,False
324,2023-11-11,West,Beauty,Marketplace,0.0,337.94,0.0,0.19,0.0,NON-RELIABLE,CRITICAL_ERROR,False
326,2024-06-11,East,Clothing,Marketplace,-1.0,473.1,-473.1,0.32,-321.708,NON-RELIABLE,CRITICAL_ERROR,False
329,2023-09-27,Central,Clothing,Online,0.0,203.2,0.0,0.21,0.0,NON-RELIABLE,CRITICAL_ERROR,False
339,2024-06-09,Central,Electronics,Store,-2.0,657.76,-1315.52,0.13,-1144.5024,NON-RELIABLE,CRITICAL_ERROR,False
340,2024-06-05,East,Clothing,Online,,438.4,,0.33,,NON-RELIABLE,CRITICAL_ERROR,False
341,2023-08-08,West,Home,Marketplace,5.0,,,0.0,,NON-RELIABLE,CRITICAL_ERROR,False
342,2023-11-10,Central,Clothing,Store,-1.0,584.48,-584.48,0.04,-561.1008,NON-RELIABLE,CRITICAL_ERROR,False
343,2024-01-28,East,Electronics,Online,0.0,517.63,0.0,0.34,0.0,NON-RELIABLE,CRITICAL_ERROR,False
351,2023-04-26,Central,Sports,Store,,21.0,,0.3,,NON-RELIABLE,CRITICAL_ERROR,False
355,2024-11-14,Central,Beauty,Online,-2.0,678.05,-1356.1,0.06,-1274.734,NON-RELIABLE,CRITICAL_ERROR,False
361,2023-06-11,South,Electronics,Online,3.0,-25.88,-77.64,0.05,-73.758,NON-RELIABLE,CRITICAL_ERROR,False
363,2023-10-29,Central,Sports,Online,6.0,-8.62,-51.72,0.24,-39.3072,NON-RELIABLE,CRITICAL_ERROR,False
365,2023-05-11,East,Home,Marketplace,,691.13,,0.35,,NON-RELIABLE,CRITICAL_ERROR,False
369,2023-07-25,East,Home,Store,12.0,-21.58,-258.96,0.31,-178.68239999999997,NON-RELIABLE,CRITICAL_ERROR,False
371,2023-07-14,North,Clothing,Store,3.0,,,0.19,,NON-RELIABLE,CRITICAL_ERROR,False
376,2023-05-24,West,Sports,Marketplace,-1.0,171.62,-171.62,0.27,-125.2826,NON-RELIABLE,CRITICAL_ERROR,False
381,2023-12-19,North,Home,Marketplace,-2.0,-16.24,32.48,0.1,29.232,NON-RELIABLE,CRITICAL_ERROR,False
384,2023-02-07,North,Beauty,Store,9.0,,,0.13,,NON-RELIABLE,CRITICAL_ERROR,False
389,2023-11-04,North,Beauty,Online,-2.0,,,0.11,,NON-RELIABLE,CRITICAL_ERROR,False
390,2023-02-23,North,Home,Marketplace,0.0,284.4,0.0,0.09,0.0,NON-RELIABLE,CRITICAL_ERROR,False
393,2023-07-10,West,Home,Online,-2.0,457.82,-915.64,0.33,-613.4788,NON-RELIABLE,CRITICAL_ERROR,False
402,2023-09-07,West,Home,Store,-1.0,,,0.22,,NON-RELIABLE,CRITICAL_ERROR,False
409,2024-10-06,Central,Sports,Marketplace,3.0,,,0.2,,NON-RELIABLE,CRITICAL_ERROR,False
410,2023-11-22,South,Home,Marketplace,7.0,-8.42,-58.94,0.18,-48.3308,NON-RELIABLE,CRITICAL_ERROR,False
411,2024-05-16,South,Beauty,Store,-1.0,110.76,-110.76,0.18,-90.8232,NON-RELIABLE,CRITICAL_ERROR,False
417,2024-02-24,West,Electronics,Store,2.0,-28.38,-56.76,0.16,-47.6784,NON-RELIABLE,CRITICAL_ERROR,False
419,2023-08-01,East,Sports,Online,-1.0,374.64,-374.64,0.26,-277.2336,NON-RELIABLE,CRITICAL_ERROR,False
422,2024-11-28,South,Clothing,Store,,63.25,,0.1,,NON-RELIABLE,CRITICAL_ERROR,False
424,2023-03-30,South,Beauty,Online,-1.0,309.62,-309.62,0.08,-284.85040000000004,NON-RELIABLE,CRITICAL_ERROR,False
425,2024-12-20,East,Electronics,Marketplace,4.0,,,0.18,,NON-RELIABLE,CRITICAL_ERROR,False
426,2024-02-26,East,Clothing,Online,-2.0,17.64,-35.28,0.03,-34.2216,NON-RELIABLE,CRITICAL_ERROR,False
430,2023-03-22,West,Home,Store,-2.0,369.6,-739.2,0.05,-702.24,NON-RELIABLE,CRITICAL_ERROR,False
431,2024-07-25,East,Home,Online,6.0,,,0.09,,NON-RELIABLE,CRITICAL_ERROR,False
435,2024-02-03,South,Beauty,Online,1.0,-8.38,-8.38,0.19,-6.787800000000001,NON-RELIABLE,CRITICAL_ERROR,False
438,2023-09-27,North,Clothing,Store,6.0,-25.07,-150.42000000000002,0.07,-139.8906,NON-RELIABLE,CRITICAL_ERROR,False
441,2024-04-11,Central,Sports,Marketplace,-1.0,125.25,-125.25,0.32,-85.16999999999999,NON-RELIABLE,CRITICAL_ERROR,False
443,2024-11-05,East,Beauty,Store,,392.13,,0.28,,NON-RELIABLE,CRITICAL_ERROR,False
446,2024-10-17,West,Electronics,Store,3.0,,,0.23,,NON-RELIABLE,CRITICAL_ERROR,False
447,2023-05-13,South,Sports,Store,,257.05,,0.11,,NON-RELIABLE,CRITICAL_ERROR,False
451,2024-10-05,South,Clothing,Store,0.0,174.34,0.0,0.31,0.0,NON-RELIABLE,CRITICAL_ERROR,False
463,2023-08-27,South,Electronics,Marketplace,,-0.57,,0.09,,NON-RELIABLE,CRITICAL_ERROR,False
465,2023-03-22,West,Electronics,Store,-1.0,28.09,-28.09,0.1,-25.281,NON-RELIABLE,CRITICAL_ERROR,False
468,2023-11-19,Central,Sports,Store,-1.0,564.07,-564.07,0.1,-507.66300000000007,NON-RELIABLE,CRITICAL_ERROR,False
469,2023-10-23,East,Sports,Marketplace,6.0,,,0.15,,NON-RELIABLE,CRITICAL_ERROR,False
472,2024-04-09,Central,Sports,Online,7.0,-15.45,-108.15,0.18,-88.68299999999999,NON-RELIABLE,CRITICAL_ERROR,False
485,2023-11-23,South,Home,Marketplace,13.0,,,0.34,,NON-RELIABLE,CRITICAL_ERROR,False
487,2023-06-07,West,Beauty,Marketplace,10.0,-11.33,-113.3,0.27,-82.70899999999999,NON-RELIABLE,CRITICAL_ERROR,False
493,2023-04-20,North,Clothing,Marketplace,9.0,,,0.3,,NON-RELIABLE,CRITICAL_ERROR,False
494,2024-06-28,East,Sports,Store,-1.0,25.55,-25.55,0.25,-19.1625,NON-RELIABLE,CRITICAL_ERROR,False
495,2023-07-15,East,Electronics,Store,0.0,562.84,0.0,0.3,0.0,NON-RELIABLE,CRITICAL_ERROR,False
506,2024-07-27,South,Beauty,Online,-1.0,672.36,-672.36,0.28,-484.0992,NON-RELIABLE,CRITICAL_ERROR,False
508,2024-09-04,South,Clothing,Marketplace,-1.0,518.64,-518.64,0.3,-363.048,NON-RELIABLE,CRITICAL_ERROR,False
509,2023-11-23,Central,Clothing,Online,-2.0,525.54,-1051.08,0.15,-893.4179999999999,NON-RELIABLE,CRITICAL_ERROR,False
510,2023-07-15,West,Home,Online,0.0,308.07,0.0,0.27,0.0,NON-RELIABLE,CRITICAL_ERROR,False
516,2024-11-26,East,Home,Online,-1.0,577.42,-577.42,0.33,-386.8714,NON-RELIABLE,CRITICAL_ERROR,False
519,2023-04-15,West,Beauty,Store,,130.13,,0.04,,NON-RELIABLE,CRITICAL_ERROR,False
531,2023-12-15,,Home,Online,-1.0,,,0.32,,NON-RELIABLE,CRITICAL_ERROR,False
532,2023-04-29,Central,Beauty,Online,0.0,623.77,0.0,0.33,0.0,NON-RELIABLE,CRITICAL_ERROR,False
536,2023-07-02,North,Beauty,Marketplace,2.0,-16.42,-32.84,0.17,-27.2572,NON-RELIABLE,CRITICAL_ERROR,False
538,2024-05-05,South,Sports,Store,13.0,-24.33,-316.29,0.15,-268.84649999999993,NON-RELIABLE,CRITICAL_ERROR,False
544,2023-10-10,West,Clothing,Marketplace,-2.0,68.68,-137.36,0.32,-93.4048,NON-RELIABLE,CRITICAL_ERROR,False
546,2024-06-17,Central,Clothing,Marketplace,-1.0,,,0.04,,NON-RELIABLE,CRITICAL_ERROR,False
551,2024-01-10,Central,Clothing,Online,-2.0,232.31,-464.62,0.07,-432.0966,NON-RELIABLE,CRITICAL_ERROR,False
555,2024-04-06,South,Clothing,Marketplace,0.0,437.81,0.0,0.0,0.0,NON-RELIABLE,CRITICAL_ERROR,False
563,2023-06-05,East,Electronics,Online,6.0,-11.31,-67.86,0.25,-50.895,NON-RELIABLE,CRITICAL_ERROR,False
565,2023-03-10,North,Clothing,Online,-1.0,515.68,-515.68,0.05,-489.8959999999999,NON-RELIABLE,CRITICAL_ERROR,False
571,2023-12-17,West,Beauty,Online,,618.35,,0.23,,NON-RELIABLE,CRITICAL_ERROR,False
577,2023-07-23,West,Clothing,Store,3.0,-5.07,-15.21,0.3,-10.647,NON-RELIABLE,CRITICAL_ERROR,False
581,2023-12-07,Central,Sports,Marketplace,-2.0,68.42,-136.84,0.15,-116.314,NON-RELIABLE,CRITICAL_ERROR,False
583,2024-04-22,North,Electronics,Online,7.0,,,0.12,,NON-RELIABLE,CRITICAL_ERROR,False
589,2024-10-24,West,Sports,Marketplace,-1.0,367.72,-367.72,0.04,-353.01120000000003,NON-RELIABLE,CRITICAL_ERROR,False
590,2024-04-01,East,Clothing,Marketplace,2.0,,,0.11,,NON-RELIABLE,CRITICAL_ERROR,False
594,2023-12-03,Central,Clothing,Store,0.0,263.26,0.0,0.32,0.0,NON-RELIABLE,CRITICAL_ERROR,False
596,2024-10-23,East,Home,Store,13.0,,,0.28,,NON-RELIABLE,CRITICAL_ERROR,False
600,2024-09-22,Central,Electronics,Marketplace,-2.0,238.6,-477.2,0.24,-362.672,NON-RELIABLE,CRITICAL_ERROR,False
605,2024-10-01,Central,Clothing,Online,14.0,,,0.01,,NON-RELIABLE,CRITICAL_ERROR,False
607,2023-11-15,West,Home,Marketplace,10.0,,,0.14,,NON-RELIABLE,CRITICAL_ERROR,False
611,2024-06-28,Central,Home,Store,-1.0,153.04,-153.04,0.18,-125.4928,NON-RELIABLE,CRITICAL_ERROR,False
614,2023-12-24,East,Clothing,Marketplace,7.0,,,0.24,,NON-RELIABLE,CRITICAL_ERROR,False
617,2023-12-08,Central,Sports,Online,-1.0,597.03,-597.03,0.28,-429.8616,NON-RELIABLE,CRITICAL_ERROR,False
618,2023-11-24,South,Clothing,Store,,650.73,,0.15,,NON-RELIABLE,CRITICAL_ERROR,False
620,2024-09-11,East,Sports,Marketplace,-2.0,490.02,-980.04,0.21,-774.2316,NON-RELIABLE,CRITICAL_ERROR,False
628,2023-08-17,West,Beauty,Store,-1.0,351.97,-351.97,0.31,-242.8593,NON-RELIABLE,CRITICAL_ERROR,False
630,2023-01-03,South,Beauty,Marketplace,0.0,559.22,0.0,0.22,0.0,NON-RELIABLE,CRITICAL_ERROR,False
635,2023-04-26,East,Electronics,Online,-2.0,284.97,-569.94,0.07,-530.0442,NON-RELIABLE,CRITICAL_ERROR,False
636,2024-05-31,Central,Sports,Marketplace,11.0,-11.08,-121.88,0.05,-115.786,NON-RELIABLE,CRITICAL_ERROR,False
641,2024-10-04,North,Electronics,Store,12.0,,,0.01,,NON-RELIABLE,CRITICAL_ERROR,False
651,2023-06-25,South,Sports,Marketplace,,,,0.15,,NON-RELIABLE,CRITICAL_ERROR,False
656,2024-09-11,Central,Home,Marketplace,0.0,675.15,0.0,0.19,0.0,NON-RELIABLE,CRITICAL_ERROR,False
660,2024-02-20,Central,Sports,Marketplace,-1.0,545.34,-545.34,0.26,-403.5516,NON-RELIABLE,CRITICAL_ERROR,False
661,2024-09-20,South,Electronics,Store,-2.0,553.69,-1107.38,0.12,-974.4944000000002,NON-RELIABLE,CRITICAL_ERROR,False
664,2024-07-11,East,Clothing,Marketplace,-1.0,450.44,-450.44,0.33,-301.79479999999995,NON-RELIABLE,CRITICAL_ERROR,False
665,2023-01-31,South,Sports,Online,-1.0,105.66,-105.66,0.18,-86.6412,NON-RELIABLE,CRITICAL_ERROR,False
666,2024-02-06,,Sports,Online,-1.0,331.32,-331.32,0.11,-294.8748,NON-RELIABLE,CRITICAL_ERROR,False
667,2024-12-08,South,Beauty,Store,0.0,88.23,0.0,0.18,0.0,NON-RELIABLE,CRITICAL_ERROR,False
672,2023-09-02,South,Home,Store,7.0,,,0.14,,NON-RELIABLE,CRITICAL_ERROR,False
675,2024-12-02,North,Home,Online,,575.99,,0.26,,NON-RELIABLE,CRITICAL_ERROR,False
677,2024-02-04,East,Clothing,Store,,-3.1,,0.01,,NON-RELIABLE,CRITICAL_ERROR,False
679,2023-11-28,South,Beauty,Online,,520.86,,0.01,,NON-RELIABLE,CRITICAL_ERROR,False
681,2023-02-04,West,Electronics,Online,-1.0,368.39,-368.39,0.32,-250.5052,NON-RELIABLE,CRITICAL_ERROR,False
682,2023-04-17,South,Clothing,Online,,112.77,,,,NON-RELIABLE,CRITICAL_ERROR,False
685,2024-07-18,Central,Home,Marketplace,,53.53,,0.28,,NON-RELIABLE,CRITICAL_ERROR,False
686,2023-11-18,West,Clothing,Online,12.0,,,0.02,,NON-RELIABLE,CRITICAL_ERROR,False
687,2024-01-08,South,Sports,Online,,571.9,,0.14,,NON-RELIABLE,CRITICAL_ERROR,False
691,2024-12-10,West,Clothing,Marketplace,-2.0,256.6,-513.2,0.15,-436.22,NON-RELIABLE,CRITICAL_ERROR,False
692,2023-12-10,North,Sports,Store,5.0,,,0.11,,NON-RELIABLE,CRITICAL_ERROR,False
696,2023-08-24,South,Beauty,Marketplace,9.0,,,0.23,,NON-RELIABLE,CRITICAL_ERROR,False
698,2023-06-18,Central,Home,Online,,32.73,,0.19,,NON-RELIABLE,CRITICAL_ERROR,False
710,2024-03-23,Central,Home,Marketplace,4.0,,,0.08,,NON-RELIABLE,CRITICAL_ERROR,False
721,2024-08-22,Central,Clothing,Online,4.0,-17.68,-70.72,0.15,-60.112,NON-RELIABLE,CRITICAL_ERROR,False
725,2024-11-25,East,Home,Store,7.0,-12.53,-87.71,0.25,-65.7825,NON-RELIABLE,CRITICAL_ERROR,False
727,2023-04-15,North,Home,Store,-1.0,360.62,-360.62,0.11,-320.9518,NON-RELIABLE,CRITICAL_ERROR,False
730,2024-04-24,West,Sports,Store,5.0,,,0.23,,NON-RELIABLE,CRITICAL_ERROR,False
732,2024-03-07,East,Clothing,Online,-1.0,339.88,-339.88,0.26,-251.5112,NON-RELIABLE,CRITICAL_ERROR,False
735,2024-07-28,,Electronics,Marketplace,0.0,301.29,0.0,0.09,0.0,NON-RELIABLE,CRITICAL_ERROR,False
743,2024-10-31,East,Home,Online,2.0,-18.83,-37.66,0.29,-26.738599999999995,NON-RELIABLE,CRITICAL_ERROR,False
748,2024-02-02,South,Sports,Marketplace,12.0,,,0.0,,NON-RELIABLE,CRITICAL_ERROR,False
751,2023-08-16,East,Sports,Store,12.0,,,0.2,,NON-RELIABLE,CRITICAL_ERROR,False
752,2023-07-12,South,Sports,Store,0.0,580.97,0.0,0.22,0.0,NON-RELIABLE,CRITICAL_ERROR,False
